"key","English","Korean","Japanese"
"Windowed","Windowed","창 모드","ウィンドウモード"
"BorderlessFullscreen","Borderless Fullscreen","경계 없는 전체화면","ボーダーレスフルスクリーン"
"Fullscreen","Fullscreen","전체화면","フルスクリーン"
"Player","Player","플레이어","プレイヤー"
"Resolution","Resolution","해상도","解像度"
"LR2Path","LR2 Path","LR2 경로","LR2 パス"
"SetLR2Path","Set LR2 Path","LR2 경로 설정","LR2 パス設定"
"ErrorPathNotSet","Path not set.","경로가 설정되지 않았습니다.","パスが設定されていません。"
"Add","Add","추가","追加"
"Delete","Delete","삭제","削除"
"Home","Home","홈","ホーム"
"Jukebox","Jukebox","주크박스","ジュークボックス"
"PlayOption","Play Option","플레이 옵션","プレイオプション"
"SystemOption","System Option","시스템 옵션","システムオプション"
"Menu","Menu","메뉴","メニュー"
"LaunchLR2","Launch LR2","LR2 실행","LR2 起動"
"DeleteProfileTitle","Delete Profile","프로필 삭제","プロファイル削除"
"DeleteProfileContent1","Are you sure to delete current profile?","정말 현재 프로필을 삭제하시겠습니까?","現在のプロファイルを削除してもよろしいですか？"
"DeleteProfileContent2","profile's data and score will be deleted.","프로필의 데이터와 점수 정보가 삭제될 것입니다.","プロファイルのデータとスコア情報が削除されます。"
"DeleteProfileContent3","Enter the profile's name to proceed.","프로필의 이름을 입력해 계속하세요.","続行するにはプロファイル名を入力してください。"
"Error","Error","에러","エラー"
"CreateNewProfileErrorFormat","Failed creating profile : {0}","프로필 생성 실패 : {0}","プロファイルの作成に失敗しました : {0}"
"PlayerAlreadyExistsFormat","Player {0} already exists!","플레이어 {0}은 이미 존재합니다!","プレイヤー {0} は既に存在します！"
"CreateNewProfileTitle","Create new LR2 Profile","새 LR2 프로필 생성","新しいLR2プロファイルの作成"
"ResetPlayerPasswordContent","Enter new password for current player.","현재 플레이어의 비밀번호를 새롭게 입력하세요.","現在のプレイヤーの新しいパスワードを入力してください。"
"CreateNewProfileContent","Enter new player's name.","새 플레이어의 이름을 입력하세요.","新しいプレイヤー名を入力してください。"
"CreateNewProfilePwdContent1","Enter password for new player.","새 플레이어의 비밀번호를 입력하세요.","新しいプレイヤーのパスワードを入力してください。"
"PasswordConditionContent1","Password must be 3-20 characters long and can include alphabets, numbers, and special characters.","비밀번호는 3-20자여야 하고, 알파벳과 숫자와 특수문자를 사용할 수 있습니다.","パスワードは3～20文字で、英数字および記号を使用できます。"
"PasswordConditionContent2","If you use the old LR2.exe later, you should use that password.","예전 LR2.exe를 사용하게 된다면, 그 비밀번호를 사용해야 합니다.","将来古いLR2.exeを使用する場合、そのパスワードを使用する必要があります。"
"PasswordReset","Password Reset","비밀번호 초기화","パスワードリセット"
"SetLR2PathFirst","Set LR2 Path First!","LR2 경로를 먼저 설정하세요!","先にLR2パスを設定してください！"
"BMSDirectores","BMS Pathes","BMS 경로 리스트","BMS パスリスト"
"AddBMSPathTitle","Add new BMS path (You can add multiple paths.)","새로운 BMS 경로 추가 (동시에 여러 폴더를 추가할 수 있습니다.)","新しいBMSパスを追加 (複数のフォルダを同時に追加可能)"
"AddBMSPathContentFormat","Added {0} directories.","{0}개의 경로를 추가했습니다.","{0} 個のディレクトリを追加しました。"
"AddBMSPathContentWithExcludesFormat","Added {0} directories. (Excluded {1} duplicated pathes.)","{0}개의 경로를 추가했습니다. (중복 {1}개 제외)","{0} 個のディレクトリを追加しました。(重複 {1} 個を除外)"
"DeleteBMSPathTitle","Delete BMS path","BMS 경로 삭제","BMS パスを削除"
"DeleteBMSPathContent","Are you sure to delete this path?","정말 이 경로를 삭제하시겠습니까?","このパスを削除してもよろしいですか？"
"ExcludedDuplicatedBMSPathContent","Excluded duplicated path :","중복 경로가 제외됩니다 :","重複パスが除外されます :"
"WIP","Work in progress.","아직 작업 중인 기능입니다.","現在開発中の機能です。"
